folder_ID,img_ID,img_url,project_url,Category
Airport-Offices_1122_14,2011_06_ATTC___A3_1_250_2nd_floor_20,https://images.adsttc.com/media/images/52a9/1f32/e8e4/4e90/be00/032d/large_jpg/2011_06_ATTC___A3_1_250_2nd_floor.jpg?1386815266,https://www.archdaily.com/457115/air-traffic-control-center-sadar-vuga,Airport
Airport-Rest area_245_8,ROV_pl_26_39,https://images.adsttc.com/media/images/5d1f/5615/284d/d15c/3d00/027e/large_jpg/ROV_pl_26.03_%D1%87%D0%B1.jpg?1562334715,https://www.archdaily.com/920484/platov-business-terminal-nefa-architects,Airport
Airport_1333_4,stringio_28,https://images.adsttc.com/media/images/500f/96fd/28ba/0d3d/8d00/0046/large_jpg/stringio.jpg?1414334928,https://www.archdaily.com/257323/108-dwellings-in-poligono-aeropuerto-enrique-abascal-garcia,Airport
Airport_1343_10,stringio_11,https://images.adsttc.com/media/images/5018/8758/28ba/0d33/a800/11c9/large_jpg/stringio.jpg?1414294934,https://www.archdaily.com/246654/carroll-county-airport-terminal-modus-studio,Airport
Airport_1429_12,stringio_17,https://images.adsttc.com/media/images/5015/deeb/28ba/0d5a/4b00/1343/large_jpg/stringio.jpg?1361421308,https://www.archdaily.com/172247/tag-farnborough-airport-3d-reid-architects,Airport
Airport_1459_15,stringio_13,https://images.adsttc.com/media/images/5014/be23/28ba/0d58/2800/01b7/large_jpg/stringio.jpg?1414487245,https://www.archdaily.com/147047/prince-george-airport-mgb,Airport
Airport_1459_20,stringio_20,https://images.adsttc.com/media/images/5014/c58d/28ba/0d58/2800/03b4/large_jpg/stringio.jpg?1414501308,https://www.archdaily.com/147684/skycourt-kozti-zrt-tima-studio,Airport
Airport_1459_20,stringio_21,https://images.adsttc.com/media/images/5014/c590/28ba/0d58/2800/03b5/large_jpg/stringio.jpg?1414501311,https://www.archdaily.com/147684/skycourt-kozti-zrt-tima-studio,Airport
Airport_1512_16,stringio_4,https://images.adsttc.com/media/images/5007/3d1d/28ba/0d41/4800/17f9/large_jpg/stringio.jpg?1360735653,https://www.archdaily.com/108239/sag-airport-building-in-mestia-j-mayer-h-architects,Airport
Airport_1573_17,stringio_21,https://images.adsttc.com/media/images/5008/b491/28ba/0d50/da00/189d/large_jpg/stringio.jpg?1414377257,https://www.archdaily.com/54154/lleida-airport-b720,Airport
Airport_1573_17,stringio_23,https://images.adsttc.com/media/images/5008/b49c/28ba/0d50/da00/189f/large_jpg/stringio.jpg?1414377264,https://www.archdaily.com/54154/lleida-airport-b720,Airport
Airport_1632_16,stringio_29,https://images.adsttc.com/media/images/500e/c617/28ba/0d0c/c700/0405/large_jpg/stringio.jpg?1414536972,https://www.archdaily.com/1339/beijing-airport-foster-partners,Airport
Airport_17_19,Gensler_EagleAirport_FloorPlan01_16,https://images.adsttc.com/media/images/5f27/460e/b357/653d/3a00/0e25/large_jpg/Gensler_EagleAirport_FloorPlan01.jpg?1596409316,https://www.archdaily.com/944931/eagle-county-regional-airport-concourse-replacement-gensler,Airport
